Type,Result,Values,Always,Never
2,3+,12,12,345678
2,4+,13,13,245678
2,5+,"14,23",,5678
2,6+,"15,24",,3678
2,7+,"16,25,34",,78
2,8+,"17,26,35",,48
2,9+,"18,27,36,45",,
2,10+,"28,37,46",,15
2,11+,"38,47,56",,12
2,12+,"48,57",,1236
2,13+,"58,67",,1234
2,14+,68,68,123457
2,15+,78,78,123456
2,1-,"12,23,34,45,56,67,78",,
2,2-,"13,24,35,46,57,68",,
2,3-,"14,25,36,47,58",,
2,4-,"15,26,37,48",,
2,5-,"16,27,38",,45
2,6-,"17,28",,3456
2,7-,18,18,234567
2,2x,12,12,345678
2,3x,13,13,245678
2,4x,14,14,235678
2,5x,15,15,234678
2,6x,"16,23",,4578
2,7x,17,17,234568
2,8x,"18,24",,3567
2,10x,25,25,134678
2,12x,"26,34",,1578
2,14x,27,27,134568
2,15x,35,35,124678
2,16x,28,28,134567
2,18x,36,36,124578
2,20x,45,45,123678
2,21x,37,37,124568
2,24x,"38,46",,1257
2,28x,47,47,123568
2,30x,56,56,123478
2,32x,48,48,123567
2,35x,57,57,123468
2,40x,58,58,123467
2,42x,67,67,123458
2,48x,68,68,123457
2,56x,78,78,123456
2,2:,"12,24,36,48",,57
2,3:,"13,26",,4578
2,4:,"14,28",,3567
2,5:,15,15,234678
2,6:,16,16,234578
2,7:,17,17,234568
2,8:,18,18,234567
3,6+,123,123,45678
3,7+,124,124,35678
3,8+,"125,134",1,678
3,9+,"126,135,234",,78
3,10+,"127,136,145,235",,8
3,11+,"128,137,146,236,245",,
3,12+,"138,147,156,237,246,345",,
3,13+,"148,157,238,247,256,346",,
3,14+,"158,167,248,257,347,356",,
3,15+,"168,258,267,348,357,456",,
3,16+,"178,268,358,367,457",,
3,17+,"278,368,458,467",,1
3,18+,"378,468,567",,12
3,19+,"478,568",8,123
3,20+,578,578,12346
3,21+,678,678,12345
3,4+L,112,12,345678
3,5+L,"113,122",1,45678
3,6+L,"114,123",1,5678
3,7+L,"115,124,133,223",,678
3,8+L,"116,125,134,224,233",,78
3,9+L,"117,126,135,144,225,234",,8
3,10+L,"118,127,136,145,226,235,244,334",,
3,11+L,"128,137,146,155,227,236,245,335,344",,
3,12+L,"138,147,156,228,237,246,255,336,345",,
3,13+L,"148,157,166,238,247,256,337,346,355,445",,
3,14+L,"158,167,248,257,266,338,347,356,446,455",,
3,15+L,"168,177,258,267,348,357,366,447,456",,
3,16+L,"178,268,277,358,367,448,457,466,556",,
3,17+L,"188,278,368,377,458,467,557,566",,
3,18+L,"288,378,468,477,558,567",,1
3,19+L,"388,478,568,577,667",,12
3,20+L,"488,578,668,677",,123
3,21+L,"588,678",8,1234
3,22+L,"688,778",8,12345
3,23+L,788,78,123456
3,6x,123,123,45678
3,8x,124,124,35678
3,10x,125,125,34678
3,12x,"126,134",1,578
3,14x,127,127,34568
3,15x,135,135,24678
3,16x,128,128,34567
3,18x,136,136,24578
3,20x,145,145,23678
3,21x,137,137,24568
3,24x,"138,146,234",,57
3,28x,147,147,23568
3,30x,"156,235",5,478
3,32x,148,148,23567
3,35x,157,157,23468
3,36x,236,236,14578
3,40x,"158,245",5,367
3,42x,"167,237",7,458
3,48x,"168,238,246",,57
3,56x,"178,247",7,356
3,60x,"256,345",5,178
3,64x,248,248,13567
3,70x,257,257,13468
3,72x,346,346,12578
3,80x,258,258,13467
3,84x,"267,347",7,158
3,90x,356,356,12478
3,96x,"268,348",8,157
3,105x,357,357,12468
3,112x,278,278,13456
3,120x,"358,456",5,127
3,126x,367,367,12458
3,140x,457,457,12368
3,144x,368,368,12457
3,160x,458,458,12367
3,168x,"378,467",7,125
3,192x,468,468,12357
3,210x,567,567,12348
3,224x,478,478,12356
3,240x,568,568,12347
3,280x,578,578,12346
3,336x,678,678,12345
3,2xL,112,12,345678
3,3xL,113,13,245678
3,4xL,"114,122",1,35678
3,5xL,115,15,234678
3,6xL,"116,123",1,4578
3,7xL,117,17,234568
3,8xL,"118,124",1,3567
3,9xL,133,13,245678
3,10xL,125,125,34678
3,12xL,"126,134,223",,578
3,14xL,127,127,34568
3,15xL,135,135,24678
3,16xL,"128,144,224",,3567
3,18xL,"136,233",3,4578
3,20xL,"145,225",5,3678
3,21xL,137,137,24568
3,24xL,"138,146,226,234",,57
3,25xL,155,15,234678
3,28xL,"147,227",7,3568
3,30xL,"156,235",5,478
3,32xL,"148,228,244",,3567
3,35xL,157,157,23468
3,36xL,"166,236,334",,578
3,40xL,"158,245",5,367
3,42xL,"167,237",7,458
3,45xL,335,35,124678
3,48xL,"168,238,246,344",,57
3,49xL,177,17,234568
3,50xL,255,25,134678
3,54xL,336,36,124578
3,56xL,"178,247",7,356
3,60xL,"256,345",5,178
3,63xL,337,37,124568
3,64xL,"188,248",8,3567
3,70xL,257,257,13468
