Type,Result,Values,Always,Never
2,3+,12,12,3456789
2,4+,13,13,2456789
2,5+,"14,23",,56789
2,6+,"15,24",,36789
2,7+,"16,25,34",,789
2,8+,"17,26,35",,489
2,9+,"18,27,36,45",,9
2,10+,"19,28,37,46",,5
2,11+,"29,38,47,56",,1
2,12+,"39,48,57",,126
2,13+,"49,58,67",,123
2,14+,"59,68",,12347
2,15+,"69,78",,12345
2,16+,79,79,1234568
2,17+,89,89,1234567
2,1-,"12,23,34,45,56,67,78,89",,
2,2-,"13,24,35,46,57,68,79",,
2,3-,"14,25,36,47,58,69",,
2,4-,"15,26,37,48,59",,
2,5-,"16,27,38,49",,5
2,6-,"17,28,39",,456
2,7-,"18,29",,34567
2,8-,19,19,2345678
2,2x,12,12,3456789
2,3x,13,13,2456789
2,4x,14,14,2356789
2,5x,15,15,2346789
2,6x,"16,23",,45789
2,7x,17,17,2345689
2,8x,"18,24",,35679
2,9x,19,19,2345678
2,10x,25,25,1346789
2,12x,"26,34",,15789
2,14x,27,27,1345689
2,15x,35,35,1246789
2,16x,28,28,1345679
2,18x,"29,36",,14578
2,20x,45,45,1236789
2,21x,37,37,1245689
2,24x,"38,46",,12579
2,27x,39,39,1245678
2,28x,47,47,1235689
2,30x,56,56,1234789
2,32x,48,48,1235679
2,35x,57,57,1234689
2,36x,49,49,1235678
2,40x,58,58,1234679
2,42x,67,67,1234589
2,45x,59,59,1234678
2,48x,68,68,1234579
2,54x,69,69,1234578
2,56x,78,78,1234569
2,63x,79,79,1234568
2,72x,89,89,1234567
2,2:,"12,24,36,48",,579
2,3:,"13,26,39",,4578
2,4:,"14,28",,35679
2,5:,15,15,2346789
2,6:,16,16,2345789
2,7:,17,17,2345689
2,8:,18,18,2345679
2,9:,19,19,2345678
3,6+,123,123,456789
3,7+,124,124,356789
3,8+,"125,134",1,6789
3,9+,"126,135,234",,789
3,10+,"127,136,145,235",,89
3,11+,"128,137,146,236,245",,9
3,12+,"129,138,147,156,237,246,345",,
3,13+,"139,148,157,238,247,256,346",,
3,14+,"149,158,167,239,248,257,347,356",,
3,15+,"159,168,249,258,267,348,357,456",,
