Type,Result,Values,Always,Never
2,3+,12,12,3456
2,4+,13,13,2456
2,5+,"14,23",,56
2,6+,"15,24",,36
2,7+,"16,25,34",,
2,8+,"26,35",,14
2,9+,"36,45",,12
2,10+,46,46,1235
2,11+,56,56,1234
2,1-,"12,23,34,45,56",,
2,2-,"13,24,35,46",,
2,3-,"14,25,36",,
2,4-,"15,26",,34
2,5-,16,16,2345
2,2x,12,12,3456
2,3x,13,13,2456
2,4x,14,14,2356
2,5x,15,15,2346
2,6x,"16,23",,45
2,8x,24,24,1356
2,10x,25,25,1346
2,12x,"26,34",,15
2,15x,35,35,1246
2,18x,36,36,1245
2,20x,45,45,1236
2,24x,46,46,1235
2,30x,56,56,1234
2,2:,"12,24,36",,5
2,3:,"13,26",,45
2,4:,14,14,2356
2,5:,15,15,2346
2,6:,16,16,2345
3,6+,123,123,456
3,7+,124,124,356
3,8+,"125,134",1,6
3,9+,"126,135,234",,
3,10+,"136,145,235",,
3,11+,"146,236,245",,
3,12+,"156,246,345",,
3,13+,"256,346",6,1
3,14+,356,356,124
3,15+,456,456,123
3,4+L,112,12,3456
3,5+L,"113,122",1,456
3,6+L,"114,123",1,56
3,7+L,"115,124,133,223",,6
3,8+L,"116,125,134,224,233",,
3,9+L,"126,135,144,225,234",,
3,10+L,"136,145,226,235,244,334",,
3,11+L,"146,155,236,245,335,344",,
3,12+L,"156,246,255,336,345",,
3,13+L,"166,256,346,355,445",,
3,14+L,"266,356,446,455",,1
3,15+L,"366,456",6,12
3,16+L,"466,556",6,123
3,17+L,566,56,1234
3,6x,123,123,456
3,8x,124,124,356
3,10x,125,125,346
3,12x,"126,134",1,5
3,15x,135,135,246
3,18x,136,136,245
3,20x,145,145,236
3,24x,"146,234",4,5
3,30x,"156,235",5,4
3,36x,236,236,145
3,40x,245,245,136
3,48x,246,246,135
3,60x,"256,345",5,1
3,72x,346,346,125
3,90x,356,356,124
3,120x,456,456,123
3,2xL,112,12,3456
3,3xL,113,13,2456
3,4xL,"114,122",1,356
3,5xL,115,15,2346
3,6xL,"116,123",1,45
3,8xL,124,124,356
3,9xL,133,13,2456
3,10xL,125,125,346
3,12xL,"126,134,223",,5
3,15xL,135,135,246
3,16xL,"144,224",4,356
3,18xL,"136,233",3,45
3,20xL,"145,225",5,36
3,24xL,"146,226,234",,5
3,25xL,155,15,2346
3,30xL,"156,235",5,4
3,32xL,244,24,1356
3,36xL,"166,236,334",,5
3,40xL,245,245,136
3,45xL,335,35,1246
3,48xL,"246,344",4,15
3,50xL,255,25,1346
3,54xL,336,36,1245
3,60xL,"256,345",5,1
3,72xL,"266,346",6,15
3,75xL,355,35,1246
3,80xL,445,45,1236
3,90xL,356,356,124
3,96xL,446,46,1235
3,100xL,455,45,1236
3,108xL,366,36,1245
3,120xL,456,456,123
3,144xL,466,46,1235
3,150xL,556,56,1234
3,180xL,566,56,1234
4,10+,1234,1234,56
4,11+,1235,1235,46
4,12+,"1236,1245",12,
4,13+,"1246,1345",14,
4,14+,"1256,1346,2345",,
4,15+,"1356,2346",36,
4,16+,"1456,2356",56,
4,17+,2456,2456,13
4,18+,3456,3456,12
4,24x,1234,1234,56
4,30x,1235,1235,46
4,36x,1236,1236,45
4,40x,1245,1245,36
4,48x,1246,1246,35
4,60x,"1256,1345",15,
4,72x,1346,1346,25
4,90x,1356,1356,24
4,120x,"1456,2345",45,
4,144x,2346,2346,15
4,180x,2356,2356,14
4,240x,2456,2456,13
4,360x,3456,3456,12
5,15+,12345,12345,6
5,16+,12346,12346,5
5,17+,12356,12356,4
5,18+,12456,12456,3
5,19+,13456,13456,2
5,20+,23456,23456,1
5,120x,12345,12345,6
5,144x,12346,12346,5
5,180x,12356,12356,4
5,240x,12456,12456,3
5,360x,13456,13456,2
5,720x,23456,23456,1
